% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.19	1	9	20	1	39	20	161	1
0.19	1	2	20	1	50	20	161	1
0.191	1	6	20	2	91	20	161	0
0.191	1	13	20	2	94	20	161	0
0.191	1	11	20	2	58	20	161	1
0.191	1	10	20	2	63	20	161	1
0.192	1	3	20	3	96	20	161	0
0.192	1	14	20	3	1	20	161	0
0.192	1	8	20	3	71	20	161	1
0.192	1	4	20	3	78	20	161	1
0.193	1	15	20	4	12	20	161	0
0.193	1	5	20	4	20	20	161	0
0.193	1	12	20	4	82	20	161	1
0.193	1	1	20	4	87	20	161	1
0.194	1	7	20	5	29	20	161	0
0.194	1	9	20	5	39	20	161	0
0.194	1	6	20	5	91	20	161	1
0.194	1	13	20	5	94	20	161	1
0.195	1	2	20	6	50	20	161	0
0.195	1	11	20	6	58	20	161	0
0.195	1	3	20	6	96	20	161	1
0.195	1	14	20	6	1	20	161	1
0.196	1	10	20	7	63	20	161	0
0.196	1	8	20	7	71	20	161	0
0.196	1	15	20	7	12	20	161	1
0.196	1	5	20	7	20	20	161	1
0.197	1	4	20	8	78	20	161	0
0.197	1	12	20	8	82	20	161	0
0.197	1	7	20	8	29	20	161	1
0.197	1	9	20	8	39	20	161	1
0.198	1	1	20	9	87	20	161	0
0.198	1	6	20	9	91	20	161	0
0.198	1	2	20	9	50	20	161	1
0.198	1	11	20	9	58	20	161	1
0.199	1	13	20	10	94	20	161	0
0.199	1	3	20	10	96	20	161	0
0.199	1	10	20	10	63	20	161	1
0.199	1	8	20	10	71	20	161	1
0.2	1	14	21	1	1	20	161	0
0.2	1	15	21	1	12	20	161	0
0.2	1	4	21	1	78	20	161	1
0.2	1	12	21	1	82	20	161	1
0.201	1	5	21	2	20	20	161	0
0.201	1	7	21	2	29	20	161	0
0.201	1	1	21	2	87	20	161	1
0.201	1	6	21	2	91	20	161	1
0.202	1	9	21	3	39	20	161	0
0.202	1	2	21	3	50	20	161	0
0.202	1	13	21	3	94	20	161	1
0.202	1	3	21	3	96	20	161	1
0.203	1	11	21	4	58	20	161	0
0.203	1	10	21	4	63	20	161	0
0.203	1	14	21	4	1	20	161	1
0.203	1	15	21	4	12	20	161	1
0.204	1	8	21	5	71	20	161	0
0.204	1	4	21	5	78	20	161	0
0.204	1	5	21	5	20	20	161	1
0.204	1	7	21	5	29	20	161	1
0.205	1	12	21	6	82	20	161	0
0.205	1	1	21	6	87	20	161	0
0.205	1	9	21	6	39	20	161	1
0.205	1	2	21	6	50	20	161	1
0.206	1	6	21	7	91	20	161	0
0.206	1	13	21	7	94	20	161	0
0.206	1	11	21	7	58	20	161	1
0.206	1	10	21	7	63	20	161	1
0.207	1	3	21	8	96	20	161	0
0.207	1	14	21	8	1	20	161	0
0.207	1	8	21	8	71	20	161	1
0.207	1	4	21	8	78	20	161	1
0.208	1	15	21	9	12	20	161	0
0.208	1	5	21	9	20	20	161	0
0.208	1	12	21	9	82	20	161	1
0.208	1	1	21	9	87	20	161	1
0.209	1	7	21	10	29	20	161	0
0.209	1	9	21	10	39	20	161	0
0.209	1	6	21	10	91	20	161	1
0.209	1	13	21	10	94	20	161	1
0.21	1	2	22	1	50	20	161	0
0.21	1	11	22	1	58	20	161	0
0.21	1	3	22	1	96	20	161	1
0.21	1	14	22	1	1	20	161	1
0.211	1	10	22	2	63	20	161	0
0.211	1	8	22	2	71	20	161	0
0.211	1	15	22	2	12	20	161	1
0.211	1	5	22	2	20	20	161	1
0.212	1	4	22	3	78	20	161	0
0.212	1	12	22	3	82	20	161	0
0.212	1	7	22	3	29	20	161	1
